Type,Name,Description,Dependencies,Key Features,Module,Status
FEATURE,Multi-Tenant System,"Allows multiple driving schools to use the same platform with complete data isolation","RLS Policies, Supabase Auth, Tenant table","Tenant registration, branding, settings, isolation via RLS",Core,Active
FEATURE,Appointment Management,"Handles creation, editing, cancellation of driving lessons","Users table, Locations table, Payments table, Staff working hours","Create/edit/cancel, staff scheduling, working hours, location management, availability slots, external calendar sync, status tracking",Scheduling,Active
FEATURE,Payment Processing,"Manages multiple payment methods and tracks payment status","Wallee API, Stripe API, Users table, Payments table, Invoices table","Multiple payment methods, status tracking, reminders, receipt generation, discounts, vouchers, student credits, cash balance",Payments,Active
FEATURE,Course Management,"VKU/PGS course management with enrollment","Courses table, Course sessions table, Course registrations table, SARI API","Course creation, categories, sessions, student enrollment, waitlist, SARI integration",Courses,Active
FEATURE,Student/Customer Management,"Manages student profiles and data","Users table, Documents table, Credits table, Payments table","Profiles, documents, credit tracking, payment history, appointment history, evaluation",Customers,Active
FEATURE,Authentication & Security,"Secure user authentication with multiple methods","auth.users table, WebAuthn credentials, MFA methods, Login attempts table","Password auth, WebAuthn/Passkeys, Multi-Factor Authentication, login tracking, IP blocking, account lockout",Auth,Active
FEATURE,Booking System,"Public booking platform for new customers","Availability slots, Booking proposals, Locations, Staff","Public booking pages, availability checking, slot reservation, guest bookings, proposals",Booking,Active
FEATURE,Staff Management,"Manages staff profiles and assignments","Users table, Staff working hours, Locations table, Appointments table","Profiles, working hours, location assignments, appointment stats, cash tracking, evaluation",Staff,Active
FEATURE,SARI Integration,"Synchronizes VKU/PGS courses and student data from SARI system","SARI API, Courses table, Course registrations, SARI mapping tables","Course sync, student enrollment sync, FABERID mapping, sync logging, test/prod environments",Integration,Active
FEATURE,Reminder System,"Multi-stage payment and notification reminders","Payment reminders table, SMS logs, Email service, Twilio, Resend","Payment reminders, email/SMS/push, multi-stage, templates, logging",Messaging,Active
FEATURE,Task Management,"Task and pendency tracking system","Pendencies table, Users table, Appointments table","Tasks, assignments, recurrence, priority levels",Admin,Active
FEATURE,Analytics & Logging,"Comprehensive audit trail and system logging","Audit logs, Error logs, Webhook logs, Analytics events","Audit logs, error logs, webhook logs, analytics events, system metrics",Logging,Active
FEATURE,Invoice System,"Invoice generation and tracking","Invoices table, Invoice items, Payments table","Generation, items, payment tracking, PDF export",Invoices,Active
FEATURE,Cancellation Management,"Handles appointment cancellations and policies","Cancellation policies, Cancellation reasons, Appointments table","Policies, reasons, charge calculation, medical certificate tracking",Appointments,Active
FEATURE,Evaluation System,"Staff and appointment evaluation","Evaluation categories, criteria, scales, exam results, examiners table","Categories, criteria, rating scales, exam results, examiner management",Staff,Active
FEATURE,Calendar Integration,"External calendar synchronization","External calendars table, ICS files, FullCalendar","ICS sync, calendar export, appointment display, integration with external tools",Calendar,Active
FEATURE,Document Management,"User document storage and tracking","User documents table, Document categories","Upload, storage, categorization, requirements tracking",Admin,Active
FEATURE,WebAuthn/Passkey Support,"Biometric and hardware key authentication","Webauthn credentials table, Webauthn sessions table","Biometric auth, security keys, multi-device, credential management",Auth,Active
API,/api/auth/*,"Authentication endpoints","Users, auth.users, WebAuthn, Password reset","Login, register, WebAuthn, password reset, MFA, current user",Auth,Active
API,/api/appointments/*,"Appointment management endpoints","Appointments, Users, Locations, Payments","Create, update, cancel, status management, payment tracking",Appointments,Active
API,/api/payments/*,"Payment processing endpoints","Payments, Payment items, Wallee, Stripe","Process payments, status check, receipts, conversions, cash handling",Payments,Active
API,/api/wallee/*,"Wallee payment provider endpoints","Wallee API, Payments, Payment transactions","Transaction creation, webhooks, payment tokens, debugging",Payments,Active
API,/api/booking/*,"Booking system endpoints","Availability slots, Locations, Staff, Booking proposals","Availability, slot reservation, options, tenant lookup, proposals",Booking,Active
API,/api/staff/*,"Staff management endpoints","Users (staff), Working hours, Locations, Appointments","Working hours, appointments, statistics, products, categories, ratings",Staff,Active
API,/api/courses/*,"Course management endpoints","Courses, Course registrations, Wallee payments","Enrollment, Wallee integration",Courses,Active
API,/api/sari/*,"SARI integration endpoints","SARI API, Courses, Course registrations, User mappings","Course sync, participant sync, student enrollment, validation",Integration,Active
API,/api/admin/*,"Admin management endpoints","Users, Payments, Appointments, Locations","Pending appointments, payment details, student instructors, billing",Admin,Active
API,/api/calendar/*,"Calendar management endpoints","Appointments, ICS format, External calendars","Get appointments, manage calendar, generate tokens, export ICS",Calendar,Active
API,/api/availability/*,"Availability calculation endpoints","Availability slots, Availability recalc queue, Working hours","Queue recalculation of availability",Scheduling,Active
API,/api/cancellation-*/*,"Cancellation management endpoints","Cancellation policies, Cancellation reasons","Manage policies, list reasons, create/update/delete",Appointments,Active
API,/api/invoices/*,"Invoice management endpoints","Invoices, Invoice items, Payments","Create, list, get, update, delete, download PDF",Invoices,Active
API,/api/products/*,"Product catalog endpoints","Products, Pricing","List products, get appointment products",Products,Active
API,/api/pricing/*,"Pricing calculation endpoints","Pricing rules, Discounts","Calculate prices with/without discounts",Pricing,Active
API,/api/cron/*,"Scheduled background job endpoints","Various tables, Email/SMS services","Payment reminders, availability recalc, calendar sync, payment recovery, message queue",Cron,Active
